ID,Descripción,Given,When,Then,Resultado esperado,Relación,Estado Actual,Responsable,Último Cambio
1,Inicio de sesión exitoso,Un usuario registrado con un email 'operador@example.com' y contraseña 'Password' (rol: Operador)., El usuario ingresa las credenciales válidas y pulsa Iniciar sesión.,El sistema autentica y redirige al panel/dashboard correspondiente al rol del usuario (Operador).,Permitir ingreso con credenciales válidas y redirigir al panel correspondiente al rol.,US01,Pendiente,Sin asignar,____
2,Inicio de sesión con credenciales incorrectas,Existe un usuario registrado.,El usuario ingresa un email válido pero contraseña incorrecta.,Se muestra el mensaje: 'Usuario o contraseña incorrectos' y no se inicia sesión.,"Mostrar exactamente el mensaje: ""Usuario o contraseña incorrectos"" y bloquear acceso.",US01,Pendiente,Sin asignar,____
3,Inicio de sesión con usuario no registrado,No hay ningún usuario con el email ingresado.,El usuario intenta iniciar sesión con ese email y una contraseña.,Se muestra el mensaje: 'Usuario o contraseña incorrectos' y no se inicia sesión.,Mostrar el mensaje de error estándar para evitar revelar si el email existe o no.,US01,Pendiente,Sin asignar,____
4,Cerrar sesión,El usuario ha iniciado sesión correctamente.,El usuario hace clic en 'Cerrar sesión' y confirma.,El sistema invalida la sesión y redirige a la página de login.,"Invalidar el token de sesión y bloquear el acceso si se usa la flecha de ""Atrás"" del navegador.",US02,Pendiente,Sin asignar,____
5,Registro de nuevo usuario,Administrador autenticado está en la sección de Usuarios.,"El Administrador completa el formulario de alta con Nombre, Email, Contraseña y Rol válidos.",Se crea un nuevo usuario con activo = true y se registra correctamente.,"Validar email único, exigir todos los campos obligatorios y asignar activo=true por defecto.",US03,Pendiente,Sin asignar,____
6,Listado de usuarios,Hay más de 10 usuarios registrados.,El Administrador accede al listado de usuarios.,"La tabla muestra columnas: Nombre, Email, Rol y Estado; la lista debe poder paginarse o desplazarse para ver más de 10 usuarios.","Mostrar columnas correctas (Nombre, Email, Rol, Estado) y activar paginación/scroll si hay >10.",US04,Pendiente,Sin asignar,____
7,Editar datos y roles de usuario,Existe un usuario en estado activo.,El Administrador edita el nombre y/o el rol del usuario y guarda cambios.,Los cambios quedan reflejados de inmediato sin requerir que el usuario cierre sesión.,Los cambios de rol deben guardarse e impactar sin requerir que el usuario editado cierre sesión.,US05,Pendiente,Sin asignar,____
8,Baja lógica de usuario,Existe un usuario activo.,El Administrador desactiva (baja) al usuario y confirma.,El usuario queda inactivo (activo = false) y no debe eliminarse de la base de datos.,"Pedir confirmación, cambiar a activo=false (baja lógica, no borrado) y bloquear su futuro login.",US06,Pendiente,Sin asignar,____
9,Registro de envío individual (Tracking ID generado),"El Operador llena el formulario de ingreso de envío con Origen, Destino y DNI del Remitente.",Guarda el envío.,El sistema autogenera un Tracking ID único y el estado inicial es 'Iniciado'.,"Autogenerar Tracking ID, exigir DNI/Origen/Destino e inicializar en estado ""Iniciado"".",US07,Implementado,Thiago,22/03/26
10,Carga masiva de envíos por CSV,El Operador intenta cargar un CSV.,El sistema procesa el CSV.,Se aceptan solo archivos con extensión .csv; las filas válidas se cargan y se genera un resumen de errores para filas inválidas.,"Aceptar solo .json/.csv, cargar filas válidas y mostrar resumen exacto de las filas que fallaron.",US08,Pendiente,Sin asignar,____
11,Edición de datos de envío en estado inicial,Un envío en estado 'Iniciado'.,El Operador edita datos del envío.,La edición es permitida (campos pueden modificarse) mientras esté en Iniciado.,"Habilitar edición solo en estado ""Iniciado"". Bloquear campos (solo lectura) en otros estados.",US09,Implementado,Pablo,22/03/26
12,Cancelar envío ingresado,Envío en estado 'Iniciado'.,El Operador cancela el envío (confirmación).,El estado cambia a 'Cancelado' y el envío queda fuera del flujo logístico activo.,"Permitir cancelar solo en ""Iniciado"", pedir confirmación y cambiar estado a ""Cancelado"".",US10,Implementado,Pablo,22/03/26
13,Listado general de envíos (orden por reciente),Hay múltiples envíos registrados.,Se abre el listado general de envíos.,"La tabla carga datos ordenados desde el más antiguo al más reciente y muestra Tracking ID, Origen, Destino y Estado actual.","Mostrar Tracking ID, Origen, Destino y Estado, Cliente e historial de estados ordenados del más antiguo al más reciente.",US11,Implementado,Mauricio,22/03/26
14,Búsqueda de envío por Tracking ID (éxito),Existe un envío con Tracking ID concreto.,El usuario busca por ese Tracking ID exacto.,Se muestra el detalle del envío correspondiente.,Requerir coincidencia exacta del ID y mostrar los datos principales y estado actual.,US12,Implementado,Pablo,27/03/26
