Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Issue color),Campo personalizado (Rank),Sprint,Campo personalizado (Start date),Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerability),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
NFR-08: Estándar de Comunicación,SFGLD-42,10140,Tarea,Tareas por hacer,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,,,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,22/mar/26 2:24 AM,22/mar/26 2:50 AM,22/mar/26 6:41 PM,,,0,"{panel:bgColor=#deebff}
Toda la comunicación entre el frontend y la Mock API (backend) debe realizarse estrictamente mediante el formato JSON (application/json).
{panel}

*FURSP+*

{quote}Supportability{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i000a7:,,,,,,,Por hacer,22/mar/26 2:24 AM,10073,SFGLD-7,Arquitectura / Setup
NFR-07: Integración Continua,SFGLD-41,10139,Tarea,Tareas por hacer,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,,,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,22/mar/26 2:24 AM,22/mar/26 2:50 AM,22/mar/26 6:22 PM,,,0,"{panel:bgColor=#deebff}
Todo código subido a la rama principal (main) debe pasar automáticamente el pipeline de GitHub Actions (Linter).
{panel}

*FURPS+*

{quote}Supportability{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0009z:,,,,,,,Por hacer,22/mar/26 2:24 AM,10073,SFGLD-7,Arquitectura / Setup
NFR-06: Prevención de Errores,SFGLD-40,10138,Tarea,Tareas por hacer,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,,,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,22/mar/26 2:23 AM,22/mar/26 2:50 AM,22/mar/26 6:22 PM,,,0,"{panel:bgColor=#deebff}
Todos los formularios de alta deben realizar validaciones en el frontend (campos vacíos, formato de email, etc.) mostrando mensajes de error claros antes de enviar la petición.
{panel}

*FURPS+*

{quote}Usability{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0009r:,,,,,,,Por hacer,22/mar/26 2:24 AM,10073,SFGLD-7,Arquitectura / Setup
NFR-05: Diseño Responsivo,SFGLD-39,10137,Tarea,Tareas por hacer,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,,,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,22/mar/26 2:23 AM,22/mar/26 2:50 AM,22/mar/26 2:43 AM,,,0,"{panel:bgColor=#deebff}
La interfaz web debe adaptarse sin pérdida de funcionalidad a resoluciones de escritorio y a dispositivos móviles.
{panel}

*FURPS+*

{quote}Usability{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0009j:,,,,,,,Por hacer,22/mar/26 2:23 AM,10073,SFGLD-7,Arquitectura / Setup
NFR-04: Enmascaramiento Ley 25.326,SFGLD-38,10136,Tarea,Tareas por hacer,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,,,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,22/mar/26 2:23 AM,22/mar/26 2:50 AM,22/mar/26 6:21 PM,,,0,"{panel:bgColor=#deebff}
En la vista pública o general de seguimiento, el sistema debe ofuscar los datos personales del remitente y destinatario para proteger su privacidad.
{panel}

*FURPS+*

{quote}Legal (+){quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0009b:,,,,,,,Por hacer,22/mar/26 2:23 AM,10073,SFGLD-7,Arquitectura / Setup
NFR-03: Cifrado de Credenciales,SFGLD-37,10135,Tarea,Tareas por hacer,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,,,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,22/mar/26 2:23 AM,22/mar/26 2:50 AM,22/mar/26 6:21 PM,,,0,"{panel:bgColor=#deebff}
Las contraseñas de los usuarios en la base de datos (o archivo simulado) nunca deben almacenarse en texto plano; deben estar protegidas mediante un algoritmo de hashing.
{panel}

*FURPS+*

{quote}Security (+){quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00093:,,,,,,,Por hacer,22/mar/26 2:23 AM,10073,SFGLD-7,Arquitectura / Setup
NFR-02: Procesamiento Masivo,SFGLD-36,10134,Tarea,Tareas por hacer,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,,,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,22/mar/26 2:23 AM,22/mar/26 2:50 AM,22/mar/26 6:21 PM,,,0,"{panel:bgColor=#deebff}
El procesamiento del archivo CSV para la carga masiva de envíos no debe bloquear la interfaz de usuario, y el backend debe procesar un archivo de hasta 500 registros en menos de 10 segundos.
{panel}

*FURPS+*

{quote}Performance{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0008v:,,,,,,,Por hacer,22/mar/26 2:23 AM,10073,SFGLD-7,Arquitectura / Setup
NFR-01: Tiempo de respuesta,SFGLD-35,10133,Tarea,Tareas por hacer,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,,,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,22/mar/26 2:23 AM,22/mar/26 2:50 AM,22/mar/26 6:21 PM,,,0,"{panel:bgColor=#deebff}
El sistema debe resolver las consultas de búsqueda de un envío por su Tracking ID en un tiempo máximo de 2 segundos bajo condiciones normales de red.
{panel}

*FURPS+*

{quote}Performance{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i0008n:,,,,,,,Por hacer,22/mar/26 2:23 AM,10073,SFGLD-7,Arquitectura / Setup
US27: Filtrar envíos por prioridad IA,SFGLD-34,10100,Historia,Desarrollo,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,Mauricio Quevedo,712020:2f95521c-bf4d-44a2-a517-166702e2efc4,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,05/abr/26 10:28 PM,22/mar/26 8:30 PM,,,0,"{panel:bgColor=#deebff}
Como Supervisor, quiero filtrar la lista de envíos según la prioridad de la IA para organizar primero la salida de los paquetes más urgentes.
{panel}

*Criterios de aceptación*

{quote}# El listado de envíos debe tener una columna ordenable por ""Prioridad"".
# Por defecto, la vista del Supervisor debe mostrar primero los envíos con prioridad ""Alta"".{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00075:8,SFGLD Sprint 3,,2.0,,,,En curso,05/abr/26 10:28 PM,10072,SFGLD-6,Machine Learning
US26: Cambio manual de prioridad de IA,SFGLD-33,10099,Historia,Revisión,SFGLD,LogiTrack (SFGLD) - Grupo 10,software,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,Medium,,Mauricio Quevedo,712020:2f95521c-bf4d-44a2-a517-166702e2efc4,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,21/mar/26 5:00 AM,05/abr/26 10:29 PM,05/abr/26 10:23 PM,,,0,"{panel:bgColor=#deebff}
Como Supervisor, quiero poder cambiar manualmente la prioridad sugerida por la IA si detecto un error (falso positivo).
{panel}

*Criterios de aceptación*

{quote}# El Supervisor debe tener habilitado un botón para ""Modificar Prioridad"".
# El sistema debe permitir pisar el valor de la IA, pero debe guardar un registro interno (booleano {{prioridadManual = true}}) para futuras auditorías.{quote}",,Thiago Vildosa,712020:8a11661d-b390-4b03-a931-15b3334bf5bb,,,,,,,,,,0|i00089:,SFGLD Sprint 3,,2.0,,,,En curso,03/abr/26 2:00 AM,10072,SFGLD-6,Machine Learning
